#,name,Classic,Rapid,Blitz,Age,Wins,Draws,Losses,Unnamed: 0,username,title,fide,country,current_rapid_rating,highest_rapid_rating,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,bullet_win,bullet_draw,bullet_loss
88,"Fressinet, Laurent",2652.9,2654.4,2635.0,41,,,,50.0,zlatan56,GM,2700.0,France,2651.0,2741.0,15.0,13.0,12.0,2886.0,2972.0,254.0,80.0,134.0,,,,,
89,"Predke, Alexandr",2652.1,2585.6,2594.0,29,,,,927.0,alexandr_predke,GM,,Serbia,2517.0,2710.0,24.0,22.0,29.0,2858.0,2940.0,499.0,87.0,331.0,,,,,
90,"Li, Chao b",2652.0,2631.0,2693 i,34,652 (43.06 %),None (39.5 %),264 (17.44 %),,,,,,,,,,,,,,,,,,,,
91,"Ma, Qun",2651.0,2577.0,2602 i,31,234 (39.26 %),None (47.48 %),79 (13.26 %),1066.0,defenceboy,GM,,China,2585.0,2607.0,4.0,4.0,1.0,2928.0,3003.0,626.0,171.0,538.0,3015.0,3081.0,1054.0,165.0,832.0
92,"Naiditsch, Arkadij",2651.0,2566.0,2581.0,37,1411 (46.05 %),None (31.89 %),676 (22.06 %),43.0,captainjames,GM,2705.0,Germany,2521.0,2521.0,11.0,0.0,0.0,2761.0,2924.0,620.0,109.0,516.0,2574.0,2708.0,312.0,27.0,118.0
93,"Ni, Hua",2651.0,2626.0,2579 i,40,691 (39.94 %),None (45.2 %),257 (14.86 %),,,,,,,,,,,,,,,,,,,,
94,"Ponomariov, Ruslan",2650.6,2645.4,2613.4,39,912 (34.98 %),500 (45.15 %),518 (19.87 %),,,,,,,,,,,,,,,,,,,,
95,"Melkumyan, Hrant",2650.0,2686 i,2604 i,34,,,,97.0,hrant_chessmood,GM,2663.0,Armenia,2562.0,2947.0,41.0,13.0,26.0,2910.0,3085.0,3487.0,813.0,2331.0,2961.0,2961.0,171.0,19.0,94.0
96,"Najer, Evgeniy",2648.0,2579.0,2545.0,46,1181 (43.18 %),None (34.52 %),610 (22.3 %),1096.0,enajer77,GM,,Russia,2446.0,2530.0,18.0,12.0,15.0,2842.0,2842.0,397.0,62.0,323.0,2558.0,2576.0,1.0,0.0,2.0
97,"Saric, Ivan",2647.5,2631.0,2586.0,32,1153 (43.31 %),None (36.03 %),550 (20.66 %),101.0,dalmatinac101,GM,2660.0,Croatia,2712.0,2870.0,31.0,21.0,17.0,2820.0,3016.0,1992.0,656.0,1527.0,3098.0,3109.0,221.0,21.0,125.0
